,TimeDiff,tweet_1st,tweet_2nd,Label
2019,193.5522222222222,7.754756,3.1974301,0
2021,193.515,5.9157557,3.4320328,1
2028,193.4688888888889,4.2781954,3.4613755,1
2035,193.42555555555555,8.367144,2.3846688,1
2046,193.26666666666668,7.507732,4.6354694,0
2049,193.25083333333333,6.5991015,2.0925062,1
2084,192.99444444444444,4.881067,2.8608358,0
2095,192.905,6.0232615,2.8630822,0
2100,192.8455555555556,8.128445,3.382912,1
2113,192.6975,6.192604,3.428808,1
2115,192.6808333333333,8.8414955,0.6506311,1
2126,192.6158333333333,7.0148363,2.5936203,0
2141,192.5233333333333,5.4159985,2.5828915,1
2143,192.49388888888888,6.1478543,2.15918,1
2163,192.31,5.592738,2.554746,0
2166,192.2811111111111,5.022868,3.106425,0
2201,192.05777777777777,7.6055093,4.7808394,1
2205,192.01083333333327,5.642661,3.0671597,1
2210,192.0025,8.799374,1.4119256,1
2219,191.95916666666668,7.41019,2.1791546,0
2235,191.8141666666667,6.4953494,3.5691707,1
2241,191.71722222222223,6.5729656,3.1280363,1
2263,191.54666666666665,7.0064793,7.203505,1
2268,191.4897222222222,9.460121,1.3330886,1
2275,191.4608333333333,9.387512,1.530278,1
2286,191.3755555555556,7.287014,3.0656388,1
2287,191.36888888888888,6.448364,2.951902,0
2289,191.35972222222225,9.436564,1.323436,1
2299,191.3111111111111,9.230815,7.763564,0
2337,191.115,4.9660926,2.7905061,1
2340,191.09416666666667,8.051899,1.0105132,1
2353,191.01527777777775,9.449484,1.4045165,1
2361,190.98416666666665,9.497385,1.2209488,1
2369,190.92555555555555,5.481811,2.9967208,0
2371,190.91611111111112,6.0173945,3.097343,1
2378,190.83277777777775,9.364921,1.0944209,1
2384,190.78277777777777,11.434242,5.1598234,0
2394,190.7158333333333,8.835161,3.415245,1
2412,190.5872222222222,9.839829,2.8455055,1
2444,190.1830555555556,4.779718,2.0252638,1
2447,190.1675,6.698661,3.5907183,1
2467,189.94944444444445,7.8283563,0.84676635,0
2480,189.84722222222223,10.018127,4.521862,1
2481,189.8325,9.102625,2.732245,0
2482,189.82694444444445,8.024937,4.810095,1
2501,189.66,7.972527,2.8691466,1
2516,189.46833333333333,5.7935114,2.9629576,1
2537,189.26916666666668,5.643175,2.0167654,0
2550,189.11666666666667,4.100422,2.8665845,0
2568,189.01722222222224,5.872498,2.4797103,1
2577,188.95472222222224,7.738014,4.253471,1
2579,188.9427777777778,7.155483,4.227877,1
2586,188.85888888888888,6.074666,3.1305666,1
2593,188.7675,8.477121,1.2821825,0
2596,188.73166666666663,5.6128783,2.8806956,1
2603,188.6880555555556,5.988925,3.2143571,1
2615,188.6038888888889,9.610072,1.749896,0
2622,188.57666666666665,5.234977,3.1734316,1
2627,188.5680555555556,5.293743,4.809315,0
2637,188.50472222222223,6.579088,3.456493,0
2638,188.50333333333333,7.7033296,1.1120522,0
2640,188.4788888888889,9.432902,3.9582148,0
2644,188.4286111111111,9.049107,0.4523967,1
2648,188.3936111111111,7.1012163,5.1352367,0
2669,188.13722222222225,8.529122,1.3770894,0
2675,188.11888888888888,8.612613,3.690938,1
2678,188.1002777777778,9.575264,4.9465213,1
2680,188.0886111111111,5.1210866,2.8198617,1
2687,188.0680555555556,3.5536199,10.448562,1
2692,188.00027777777777,5.6802597,2.904223,1
2694,187.97583333333333,7.015939,1.7514062,0
2713,187.8505555555556,7.01418,1.7690502,0
2717,187.81027777777777,10.482191,2.6007771,1
2725,187.7161111111111,7.084007,2.7635098,1
2766,187.365,9.436931,5.0852194,0
2772,187.3494444444445,6.2522697,3.6115718,0
2780,187.2516666666667,9.070522,0.6670824,1
2786,187.2163888888889,6.7249146,1.8348503,1
2788,187.18972222222223,5.8572793,3.181442,0
2794,187.1447222222222,6.554861,3.2278533,1
2801,187.11805555555557,7.8662868,3.2063086,1
2803,187.10944444444445,6.603786,6.423047,1
2827,186.96472222222224,5.9418383,2.6693242,1
2845,186.8386111111111,7.992465,7.5954695,0
2859,186.76611111111112,5.8304176,2.8154535,0
2875,186.65472222222223,9.5801735,1.1670702,1
2890,186.56694444444443,5.388384,7.020863,0
2901,186.5,8.871343,4.934057,1
2904,186.48583333333332,7.3873987,1.3927631,1
2906,186.45277777777775,7.9642153,1.8092618,1
2916,186.4105555555556,9.392918,1.5735773,1
2932,186.33138888888888,7.2981143,7.2682366,1
2933,186.33083333333332,6.8190994,2.4062564,1
2935,186.32361111111112,7.1135736,3.487508,1
2944,186.30638888888888,6.354334,-0.053190257,1
2961,186.2458333333333,6.2218547,2.8007336,1
2972,186.13916666666665,8.298821,4.341089,0
2987,186.0630555555556,10.000359,2.9590867,1
2990,186.04527777777776,6.9837637,3.9869568,1
2995,186.00972222222225,6.13511,1.1696533,0
3015,185.9175,8.471088,0.18386905,1
3017,185.91166666666663,8.008891,6.52692,1
3018,185.89916666666667,5.854711,2.5837672,1
3032,185.83388888888888,8.465582,0.18877076,1
3043,185.7530555555556,8.464418,0.19800463,1
3050,185.73583333333332,8.1287365,1.0410681,0
3053,185.72277777777776,6.6673317,5.295629,1
3057,185.71722222222223,6.5126114,2.5681217,0
3068,185.64166666666668,8.339246,7.773399,1
3069,185.63611111111112,8.296072,1.1880798,0
3076,185.61888888888888,8.464012,0.19573255,1
3093,185.52666666666667,6.5575085,2.9310608,1
3108,185.4775,8.17699,2.7826328,0
3116,185.45638888888888,9.12058,3.9616508,1
3135,185.3936111111111,5.9543633,2.7080922,0
3143,185.37277777777777,9.495876,1.2259573,1
3154,185.3347222222222,6.358131,1.0332185,1
3161,185.2863888888889,8.541941,3.701582,1
3167,185.25861111111112,5.5489764,3.102868,1
3188,185.19611111111112,7.0977535,1.9409288,1
