,TimeDiff,tweet_1st,tweet_2nd
355,212.54527777777776,5.180576,2.952423
356,212.5263888888889,5.3650765,6.945009
357,212.51666666666668,7.7658653,2.852043
358,212.50916666666663,5.1440287,0.93827665
359,212.50861111111112,9.63714,2.5112908
360,212.50694444444449,6.5439954,5.6070633
361,212.49972222222223,6.5654736,6.4623756
362,212.4983333333333,7.3123174,1.600497
363,212.4933333333333,4.655368,4.7264338
364,212.4925,8.337676,3.6160655
366,212.4744444444445,2.8447878,3.4297733
367,212.46055555555557,6.836081,6.6468973
369,212.43166666666667,-2.657581,15.830764
370,212.4086111111111,12.3968935,-11.178964
371,212.38111111111112,12.040448,0.24956504
374,212.34166666666667,6.359686,0.85039383
378,212.32694444444445,6.1580763,4.7790866
379,212.30555555555557,10.239475,3.621685
380,212.29916666666668,8.07938,3.5276206
381,212.29666666666665,8.708866,2.9627345
382,212.2938888888889,3.9995732,2.8351967
383,212.2927777777778,6.0828233,3.2678137
384,212.28444444444443,12.296352,-11.293621
385,212.2825,2.74728,2.6432235
386,212.27527777777777,8.355808,1.12642
387,212.27416666666667,5.365116,6.0039077
388,212.2733333333333,5.866609,0.3738506
390,212.27166666666668,5.0011954,4.0355167
391,212.26,2.1659942,3.3514616
393,212.24722222222223,5.8424454,2.9361184
394,212.23527777777775,5.481174,6.7171288
395,212.22416666666663,6.2763896,3.9459045
396,212.20944444444444,8.919474,2.422625
397,212.2061111111111,6.765904,0.9654687
398,212.20416666666668,2.703052,3.774799
400,212.19083333333333,7.2596827,3.2466204
401,212.18972222222223,-10.777656,3.1391284
403,212.1833333333333,6.8014636,4.536211
404,212.1808333333333,2.2573156,2.519751
405,212.1772222222222,11.092649,1.2779423
406,212.1772222222222,5.7360606,0.93439066
407,212.17277777777775,7.4456706,-1.150076
409,212.1638888888889,5.684377,2.731976
415,212.11444444444444,5.845228,2.0644917
418,212.10194444444448,8.111591,7.371941
419,212.10111111111112,6.372809,0.6700884
421,212.09333333333333,3.675005,3.1265352
424,212.07333333333327,6.046802,0.4106941
425,212.0625,7.734403,2.2464042
426,212.05527777777775,6.7347527,1.1087435
427,212.04777777777775,6.5824337,-0.13126364
429,212.04472222222225,7.835737,0.798779
430,212.04083333333327,-8.695802,-6.3891315
431,212.03166666666667,7.0402875,1.1202729
432,212.0283333333333,8.090582,7.5415983
433,212.01583333333332,8.161994,1.761582
434,212.01083333333327,4.33004,4.928616
435,212.01083333333327,7.505523,5.022927
436,212.00694444444449,4.7453175,3.454298
437,212.0063888888889,2.2731817,2.5330906
438,212.00416666666663,5.654873,3.5845368
440,212.00027777777777,6.0327477,0.46166697
441,212.0,7.0209427,1.6739204
442,212.0,9.523195,1.1473165
443,211.99666666666667,8.038097,7.524446
444,211.98916666666668,5.5647535,1.7796587
445,211.97916666666663,3.865134,4.6450677
446,211.9788888888889,2.220304,2.7663882
447,211.97666666666663,5.886456,1.0283382
448,211.975,12.327281,-11.254324
449,211.95638888888888,3.3360584,2.236097
451,211.95222222222225,3.0092137,4.6299796
453,211.9272222222222,8.430194,7.8765907
454,211.9272222222222,7.999237,5.1526093
460,211.85611111111112,3.5534728,10.449546
461,211.84916666666663,6.8859987,2.2789714
462,211.84527777777777,3.988074,3.7089922
463,211.83972222222224,8.605413,2.0737736
465,211.79222222222225,10.111218,4.6187067
466,211.7763888888889,8.845722,3.3981657
468,211.72972222222225,7.3428082,-4.1355853
470,211.69972222222225,5.787341,3.1928306
472,211.6708333333333,8.197776,2.7063272
473,211.66972222222225,5.3048334,6.1323094
474,211.6675,6.4490066,5.3441777
475,211.6611111111111,6.562003,3.3835647
476,211.63472222222225,-11.148854,2.7307084
477,211.6236111111111,5.119821,3.7907376
479,211.62222222222223,3.0386722,2.6551404
481,211.61416666666668,2.2223935,2.5823994
482,211.6125,2.977571,2.6108098
483,211.60472222222225,5.342068,6.8603435
485,211.5913888888889,6.897742,1.6307577
486,211.58944444444444,6.747955,2.4946225
489,211.55055555555555,8.831108,1.220554
490,211.53472222222223,6.802796,2.5766592
491,211.53416666666664,8.748846,3.066485
492,211.5311111111111,11.8448925,3.9860952
493,211.5263888888889,5.1729217,4.073158
494,211.52027777777775,8.7010765,1.9649378
497,211.4947222222222,8.005077,7.3727136
498,211.49416666666667,9.433504,3.4931734
499,211.48444444444445,5.7272544,2.4018738
500,211.48194444444445,4.2062635,3.7342548
502,211.45,4.0294595,2.929043
503,211.44222222222223,-2.7886715,15.674586
504,211.44027777777777,8.594013,3.6350965
505,211.43972222222223,3.4667602,4.277993
508,211.41861111111112,7.101695,1.193779
509,211.41583333333327,8.61043,3.1932297
511,211.40972222222223,7.88478,0.91107506
512,211.40194444444444,7.4452786,4.0048075
514,211.39888888888888,6.690316,1.0199759
515,211.39333333333332,-11.0622,2.64753
516,211.3730555555556,6.0730653,0.4232362
517,211.37166666666667,1.8368,3.1645076
518,211.3622222222222,3.5740976,3.721602
519,211.34222222222223,3.980088,2.4726293
520,211.33527777777775,3.0312278,3.0506024
521,211.33416666666668,5.8985434,3.0936756
522,211.32555555555555,5.1795416,3.555114
523,211.32,3.4371383,3.636513
525,211.25722222222225,6.327488,-0.98928076
526,211.25694444444449,8.418614,3.1381495
527,211.2483333333333,8.062062,0.92379564
528,211.22861111111112,-2.7549407,15.780247
529,211.2280555555556,7.307888,2.4333062
530,211.21833333333333,7.168057,1.2097129
531,211.21055555555557,5.8675203,3.2762492
532,211.16861111111112,6.4619374,0.75037116
533,211.16666666666663,9.001852,3.2124202
534,211.165,8.892629,3.4648192
537,211.1447222222222,5.210591,1.2789725
541,211.09166666666667,6.574654,1.1119759
542,211.0908333333333,3.8180442,2.3477652
543,211.07444444444445,5.6962857,1.3620765
544,211.06861111111112,-2.7621706,15.733222
545,211.06333333333333,10.030247,0.10207509
547,211.05083333333332,7.090569,4.6745253
548,211.0425,10.115867,0.43049702
549,211.04222222222225,6.813219,1.5361851
551,211.0283333333333,4.1365395,2.544115
552,211.0258333333333,7.7215533,0.69573706
553,211.02194444444444,6.1486807,0.42051378
554,211.01916666666668,4.8953977,1.7796353
555,211.01694444444445,6.497584,5.4677744
557,211.01416666666665,6.6032352,5.3951755
559,211.00416666666663,8.705913,4.756072
560,211.0005555555556,6.567647,0.9456623
561,211.00027777777777,3.535728,2.740984
563,210.97472222222223,6.438554,3.4819582
564,210.9455555555556,5.8077335,0.90521765
565,210.94361111111112,5.243981,6.5935855
567,210.92388888888888,3.5061646,2.8795435
569,210.92166666666665,5.4252634,7.028635
570,210.90416666666667,10.293761,6.417454
571,210.87222222222223,6.3287888,-0.9983746
573,210.87,6.3283195,-0.9812153
574,210.8686111111111,6.3274894,-0.9918487
575,210.8675,6.322907,-0.9939406
576,210.86388888888888,6.329039,-0.9810091
577,210.8625,6.32541,-0.99525183
578,210.86138888888888,6.327641,-0.98562574
579,210.85694444444445,-11.233717,2.8037734
580,210.8530555555556,6.329026,-0.98169506
581,210.8525,7.545628,1.158396
582,210.84833333333333,6.0976434,1.0834092
583,210.84777777777776,6.525704,0.71948576
584,210.8475,6.6829033,2.6271253
585,210.845,10.183576,2.9598022
586,210.8336111111111,7.5514407,5.6252856
587,210.8213888888889,9.878021,4.1399946
588,210.81666666666663,4.650304,5.301871
592,210.73833333333332,5.464161,6.6551266
594,210.71944444444443,8.036953,1.0859871
595,210.6838888888889,6.8654275,4.9554467
596,210.6838888888889,6.527953,5.177206
597,210.67361111111111,6.254662,0.3735632
599,210.63722222222225,6.143854,5.3121777
600,210.61388888888888,6.608505,0.76862484
601,210.6125,8.532068,5.873206
605,210.5636111111111,-11.28094,2.7529826
606,210.5613888888889,6.797273,2.1853673
607,210.55694444444444,6.0174556,1.3464494
610,210.51527777777775,2.1952536,2.501658
612,210.5016666666667,7.2883053,0.9526528
613,210.49388888888888,10.44711,6.3429465
614,210.48833333333332,-11.041907,3.2097564
615,210.4872222222222,4.6097054,3.4298909
616,210.485,7.13796,3.0221472
617,210.47611111111112,8.77917,3.8812172
618,210.4688888888889,5.488729,6.986046
619,210.44333333333333,6.2931223,2.7271667
620,210.4391666666667,8.14039,0.7085771
621,210.43777777777777,6.5840015,0.70977736
622,210.43444444444444,3.9187694,2.401713
623,210.43166666666667,6.669529,1.7061179
625,210.40972222222223,2.9656308,2.9536307
626,210.405,8.756672,3.4402866
627,210.39388888888888,2.7911212,2.8476143
628,210.36388888888888,5.910803,2.3885722
629,210.36277777777775,3.1841693,3.15073
631,210.33916666666667,4.899778,3.384391
632,210.31861111111112,4.2245793,3.0047874
634,210.3072222222222,4.5066304,3.1108694
635,210.30555555555557,4.558543,3.6894007
636,210.3047222222222,7.137941,2.0068922
637,210.29166666666663,10.34843,2.994296
641,210.2788888888889,6.4862137,1.2221166
642,210.2783333333333,6.325326,3.7975585
643,210.26777777777775,6.525579,0.41783515
644,210.26277777777776,8.216612,1.5197701
646,210.2511111111111,8.196124,1.1554333
647,210.24972222222223,7.0787745,1.2947773
649,210.2425,9.5888605,1.0885957
651,210.23777777777775,12.344624,-11.246337
652,210.22916666666663,3.860566,5.4426503
653,210.2180555555556,8.563158,1.0028114
655,210.20833333333331,3.7962112,5.1244726
656,210.20694444444445,6.6436725,4.3112097
657,210.20638888888888,7.134233,2.0077515
658,210.20527777777775,-10.659986,3.2804213
659,210.19083333333333,7.8492084,7.7128
661,210.1797222222222,6.6066394,6.546542
662,210.17888888888888,10.095039,3.0988498
664,210.17277777777775,12.339159,-11.245355
665,210.16944444444445,6.8308344,4.9737473
666,210.16083333333333,6.669555,1.2618681
667,210.15277777777777,4.9086165,1.7218328
669,210.14638888888888,6.3408213,1.569816
670,210.14555555555555,7.0997806,2.33376
671,210.14277777777775,5.685972,6.472497
672,210.14111111111112,6.380618,3.2461877
673,210.14083333333332,7.266919,1.5189009
674,210.13194444444449,5.4109554,6.944774
677,210.1197222222222,10.404982,2.5208597
678,210.11777777777775,6.197537,5.986744
679,210.1083333333333,6.4122305,0.876478
680,210.1075,8.342949,7.699068
681,210.09,7.906749,0.7503582
682,210.0872222222222,2.6595294,3.1008532
683,210.08444444444444,6.6433177,2.3704326
684,210.0611111111111,3.9289439,1.2815964
685,210.05194444444444,-11.036427,2.7781675
686,210.045,8.60884,2.9742057
687,210.04166666666663,2.1444733,2.641322
688,210.0402777777778,7.5816703,1.1483326
690,210.01666666666668,10.024502,3.2519388
691,210.00916666666663,6.575217,0.6311142
692,210.00916666666663,6.4754386,0.56258565
693,210.00666666666663,5.208493,0.6273167
694,210.0025,4.3154387,3.1282606
696,210.00027777777777,-10.935584,2.8788953
697,210.00027777777777,6.1997967,0.43367603
698,209.9933333333333,-2.728095,15.756357
700,209.98666666666668,8.320036,7.3485117
702,209.97611111111112,4.8629947,2.6963944
703,209.96666666666667,10.301248,1.4185119
704,209.96444444444444,6.058212,0.45254236
705,209.9633333333333,4.5025873,2.5848222
707,209.95694444444445,11.20061,5.6063204
708,209.95666666666668,6.1502047,0.9177523
709,209.94611111111112,7.069484,0.7245501
710,209.94333333333333,8.381395,1.7264723
711,209.93944444444443,5.7860246,2.3290603
712,209.9286111111111,7.202282,0.42401925
713,209.91694444444445,8.547676,3.0987976
714,209.9038888888889,7.0495563,1.9621656
715,209.9030555555556,8.359526,7.431967
716,209.90222222222224,5.3785357,1.8898909
717,209.88944444444445,10.2976465,2.1957479
718,209.8625,9.604893,5.5297494
719,209.85222222222225,8.710308,3.409497
722,209.82916666666668,6.1868715,1.1277922
723,209.81666666666663,5.5205336,0.83764434
724,209.80916666666667,2.07802,2.635869
725,209.8058333333333,5.297208,6.4899445
726,209.80527777777775,7.7249475,-10.055397
727,209.7997222222222,6.796076,6.3624477
729,209.79722222222225,5.728474,1.810843
730,209.795,5.5476346,0.6284136
731,209.7836111111111,6.5671296,0.48953757
732,209.7625,9.786928,4.796596
733,209.7625,10.047711,6.583828
734,209.75611111111112,6.2574024,6.183334
735,209.7513888888889,3.6132758,1.9019585
736,209.73805555555555,8.115504,7.5120416
737,209.73777777777775,4.6621265,2.2635372
738,209.72416666666663,8.256946,1.1157738
739,209.71944444444443,5.536116,0.647687
741,209.6911111111111,5.2938075,2.1836772
742,209.6911111111111,2.5338585,3.6157646
745,209.65722222222223,7.0651073,5.5533595
746,209.63361111111112,7.910831,4.7621922
749,209.59833333333333,8.488578,3.3301528
750,209.59722222222223,7.2714524,1.4194435
751,209.59722222222223,2.901578,2.442941
752,209.58666666666667,9.40045,1.9420549
753,209.5836111111111,10.248234,2.818331
754,209.58333333333331,10.253812,1.8912137
755,209.57777777777775,4.103427,2.2354438
756,209.57555555555555,-11.011401,3.3868783
757,209.57166666666663,6.4580927,1.0239187
758,209.5583333333333,6.6156645,5.4241233
761,209.54222222222225,-10.618831,3.1226866
764,209.52083333333331,4.9637523,3.8346453
766,209.50444444444443,6.750156,3.1721098
767,209.48888888888888,-10.956478,2.9612093
768,209.4655555555556,3.341124,3.1265
769,209.4611111111111,8.190809,3.3046696
770,209.45361111111112,5.9074955,4.414522
771,209.41361111111112,7.4205384,6.4434824
772,209.40027777777777,5.717846,6.4260287
775,209.38083333333333,6.810686,1.2177317
776,209.3736111111111,6.116179,0.32548204
778,209.3672222222222,7.7629075,4.4895215
779,209.36027777777775,6.6983056,5.187474
780,209.3530555555556,8.584462,3.525965
781,209.34194444444444,8.317174,1.0876
783,209.3322222222222,8.313742,7.414668
784,209.32194444444443,5.4381323,0.5225278
785,209.32166666666663,6.88007,1.0106853
786,209.3155555555556,4.57462,3.0683455
787,209.3080555555556,8.583932,7.3587365
788,209.30638888888888,6.550217,5.4554768
789,209.3058333333333,6.6449656,5.4260354
791,209.30027777777775,6.265864,6.037295
792,209.2913888888889,6.6158724,3.272303
793,209.2913888888889,5.7082343,0.9238419
795,209.28861111111112,8.552191,4.67709
796,209.27944444444444,4.8070188,0.6808641
797,209.26222222222225,7.064251,4.9850564
799,209.24138888888888,5.702289,6.4306555
802,209.2244444444445,7.8405743,0.9609872
804,209.20166666666665,5.6478853,0.5907827
806,209.1830555555556,7.0437036,4.0194483
808,209.1683333333333,-2.6837718,15.664587
809,209.16805555555555,7.356712,1.2853814
810,209.1675,8.224671,4.8998055
812,209.1627777777778,6.9074044,0.42548457
816,209.10888888888888,5.6799374,0.5874833
817,209.10694444444445,2.3056543,3.6858013
818,209.1027777777778,8.0216875,0.46753594
821,209.08333333333331,7.963309,0.8623671
823,209.0688888888889,8.189627,7.26705
824,209.06861111111112,8.003048,7.4313607
825,209.06444444444443,8.978168,3.2520897
826,209.04833333333332,6.2051134,2.227866
827,209.03944444444448,8.388102,0.88909966
829,209.0338888888889,7.001802,0.6448371
831,209.02916666666667,8.008441,0.56194246
832,209.0288888888889,11.83261,3.99662
833,209.02777777777777,5.727689,1.1310676
834,209.02166666666668,5.305789,4.8600335
835,209.02166666666668,8.878074,5.060477
836,209.01583333333332,9.221559,2.5564368
837,209.0077777777778,7.101125,3.8451731
842,208.9980555555556,6.5346575,3.1209543
843,208.99722222222223,6.7167993,0.39980772
845,208.9675,5.415009,2.9760282
846,208.96,9.354382,3.355422
847,208.95583333333332,5.155776,4.7326713
848,208.95416666666668,5.71438,0.25267422
849,208.9463888888889,5.7341633,0.25335646
850,208.94027777777777,5.2876077,0.7683251
851,208.93972222222223,5.711791,0.26181725
853,208.9333333333333,5.7490225,0.29462028
854,208.9261111111111,5.7469425,0.25600335
855,208.91944444444445,5.7435737,0.2771842
856,208.9177777777778,5.192324,0.9275654
857,208.91722222222225,9.924662,3.8680222
858,208.9075,6.626148,6.356787
859,208.9061111111111,3.3295243,2.984229
860,208.9038888888889,6.747929,2.5720391
861,208.9036111111111,5.416439,-0.01660805
863,208.90027777777777,5.06456,3.4582107
864,208.89111111111112,8.185786,3.8606896
865,208.88916666666665,4.9383,3.7194896
866,208.88805555555555,6.689198,5.512144
868,208.8736111111111,8.631938,6.547016
870,208.8661111111111,9.318992,4.0988736
871,208.85416666666663,-10.943221,2.762273
872,208.8502777777778,8.822172,4.5665765
873,208.8494444444445,5.204039,6.259143
874,208.84722222222223,8.713024,3.4166293
875,208.8436111111111,7.32554,0.5420687
876,208.83166666666668,7.0087132,1.7367357
877,208.82694444444445,9.478661,3.8476543
878,208.82666666666665,9.280628,1.6988032
879,208.82111111111112,7.924085,4.8894014
880,208.81916666666663,3.369143,3.014034
881,208.8155555555556,8.2347765,7.639261
882,208.80638888888888,7.0577617,2.1210933
886,208.77944444444444,9.588904,1.0380317
887,208.77083333333331,8.915694,6.9545255
888,208.76888888888888,7.324373,0.75520647
889,208.76416666666665,5.0283227,4.0191216
890,208.76388888888889,10.237761,3.6281362
891,208.7625,3.6034,2.4660242
892,208.75722222222225,6.3121977,5.955844
893,208.75083333333333,9.949535,2.2428157
894,208.7447222222222,8.264861,2.6174395
896,208.7411111111111,5.3765903,1.2592171
897,208.7288888888889,5.607309,0.38651976
901,208.6952777777778,5.5062704,6.839386
903,208.6822222222222,5.1032133,2.527382
905,208.6472222222222,7.346764,1.3386991
906,208.64583333333331,-11.348958,3.1872628
907,208.64388888888888,2.40418,2.0134084
